,season,date,time,comp,round,day,venue,result,gf,ga,team,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,gls,sh,sot,dist,sota,save%,cs,psxg,cmp,cmp,cmp,cmp,cmp%,cmp%,cmp%,cmp%,prgdist,ast,ppa,prgp,sca,gca,tklw,int,tkl+int,err,succ,succ%,crdy,fls,won%
1,2022,1/15/2023,16:30,Premier League,Matchweek 20,Sun,Away,,,,Arsenal,Tottenham ,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2022,1/14/2023,20:30,Premier League,Matchweek 20,Sat,Away,,,,Manchester City,Manchester Utd,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2022,1/15/2023,22:00,Premier League,Matchweek 20,Sun,Home,,,,Newcastle United,Fulham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,1/14/2023,20:30,Premier League,Matchweek 20,Sat,Home,,,,Manchester United,Manchester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2022,1/15/2023,16:30,Premier League,Matchweek 20,Sun,Home,,,,Tottenham Hotspur,Arsenal,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2022,1/14/2023,23:00,Premier League,Matchweek 20,Sat,Away,,,,Liverpool,Brighton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022,1/15/2023,22:00,Premier League,Matchweek 20,Sun,Away,,,,Fulham,Newcastle Utd,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2022,1/14/2023,23:00,Premier League,Matchweek 20,Sat,Home,,,,Brighton and Hove Albion,Liverpool,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,Brentford,Bournemouth,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,Chelsea,Fulham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,Aston Villa,Leeds United,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,Crystal Palace,Chelsea,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,Leicester City,Nott'ham Forest,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,Leeds United,Aston Villa,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,Nottingham Forest,Leicester City,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,Bournemouth,Brentford,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,West Ham United,Wolves,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,Everton,Southampton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,Wolverhampton Wanderers,West Ham,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,Southampton,Everton,,,,,,,,Match Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
